country,region,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Algeria,North Africa,,,,,,,,,,,,,,,,,,,,,278.22325550855373,259.93219586522173,254.83676577341956,246.6489190716601,255.55856842195513,489.9312421703006,546.1062004020322,761.1146696249211,664.2141202079644,719.5059329029261,711.6485364363018,809.4387515828157,719.4128811490812,830.6068093694437,834.9107456082405,784.0821008763489,734.5177570625874,722.7939323912987,736.832889735767,729.1428052712647,712.6884732715782,761.3378219357389,779.4200263727564,1304.23222298185,1402.351624801162,1706.0459960048158,1652.9613847127312,1882.0672367020184,2263.6764455686543,2394.126106907935,2526.6862064183038,2931.8895954415807,3208.9867537617847,3279.209632717683,3208.536026846801,3649.5360217934754,3820.6454921355453,3916.3558175576245,4594.953793395914,5353.754726208913,5814.7351221239005,6153.7564632831145,8807.051661171352,9267.59977437198,10010.515043819347,11528.814960795356,12061.301802186554,12097.301650708918,11456.741929940246,10987.573612936829,11853.72880159638,11577.302065989732,10794.201019648395,10441.084809688,18263.96796826213,20423.216124981845
Libya,North Africa,,,,,,,,,,,,,,,,64.07719422180072,77.97591495670582,139.60927827316047,176.8079136863551,211.46658972134952,288.6433456916326,516.5279066937334,533.0718841068768,411.6094675984379,511.5354836789871,679.740121049741,415.29030169895924,446.3983350164586,617.420613832352,726.2401495051233,903.8241057222708,1036.4852158899932,483.63361961893554,558.2627906675712,,,,,,,,,,,,,,,543.74345100102,613.3444054334307,473.58865661044166,506.8775673870479,495.8855959395897,637.3086239474054,793.2349600611385,1035.8375961572235,1020.3819257559745,897.7928318134724,844.9736328425697,1277.0271250228932,,,,2770.7336247882986,3612.792439253723,3342.7597961871115,,,,,,,,1254.746072763384,1573.6827773146888,
Morocco,North Africa,,,,,,,,118.75056936778422,173.1133414528958,230.4146228237819,268.58483379662147,267.96644951922667,305.605206621996,324.3515411711705,426.79034825886635,383.4414317949901,334.4448229928204,363.3387287929549,379.07054243582184,487.6796486704099,442.8127000150275,457.55488939131203,548.6376343112328,606.85277781648,689.7011369306956,812.7634735197047,1193.4626864240263,1675.2007835588918,1921.1077523549566,1711.1140133951267,1714.9530958142736,1973.8086347551625,2011.7666676376703,2084.5439392825374,1517.1117530386928,1363.6700969026374,1953.5673607526935,1710.2791794617408,1711.28195167623,1846.7917609162623,1997.0250142368295,1961.152633477038,2059.5822280693283,2043.2252983788599,2155.7038337867575,2213.038400197796,2038.204040553588,2032.759897104164,2128.9514265952453,2154.338715159323,1523.435829740359,1677.5906529169965,2499.1560808156078,2377.7935182447695,2518.6634997992214,2447.9784314990934,2540.4133756031056,2564.6661445894265,2641.1839776326483,2945.9815579204987,3146.517306320961,3367.440089256318,3391.989127997146,3635.9463091546904,4153.868939895227,4118.755248680564,3802.7463174659747,3825.918002195209,3938.458969447896,3965.9697792280867,4049.1071141569696,5190.109540445423,5341.867567259612,5308.917029176563,5184.928399542389,5318.16614824445
Tunisia,North Africa,,,,,,,,,,,,,75.92669639653565,57.867845176610935,58.091634245980785,70.07116711145578,55.00466322588616,57.66448987652505,61.803616742662086,69.33879689721782,66.12696605151041,84.49996618195786,87.75815842355537,99.0639810570858,97.34023434086072,98.61891090914538,140.18396112984522,161.91080490856135,214.10423515285285,238.10885019546254,228.24087550134465,243.16721898113929,321.0106415858173,485.0787844300856,596.9600923186758,408.12860691320714,353.82101801777526,303.68469485550395,275.30511201472075,318.5166308269903,328.775598325227,302.3291380276072,309.0836494764463,310.7514279303924,323.3690405336534,334.7073448365028,339.9871893562057,391.0481942751126,386.2412032030554,393.9195385222371,389.95364990516913,407.4412742944351,423.4569924119452,419.23994933919647,436.26021341429157,444.1472043280053,477.81390175500275,504.0096952290333,465.0051507958077,505.60896627803373,521.4439067417045,540.9878479179323,645.3344539523546,651.8674273552142,717.6817311322008,857.4269020348798,1022.9311946508258,1089.1961518920539,1011.1538486606858,1015.2161432851319,1248.4627375618372,1307.3326012844027,1312.3728527545404,1253.638778119926,1208.204189729942,1229.9259539325608
sub-Saharan Africa,North Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,North Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.0145577142836,315.7177587260906,274.8661176925791,164.47039463653437,143.86317620749253,2303.6497902533615,10008.408396152705,1079.7152003965398,808.8225511399106,1296.3241722297712,399.83844596221064,5109.934315634216,2367.033259932854,1426.3250683129356,1462.0529612693817,1930.7493517491991,1837.7647134052738,2603.7820414081198,3058.509263838619,2682.53689888424,3631.41065684268,3533.2664539697057,3780.7937817536954,3540.074932745346,3715.3583090065085,5074.54181489819,5415.15644221607,3187.618911010112,2546.6551333017155,2203.3624745745283,1816.6123001879628,1659.9252976623459,1453.0302840543466,1238.1327827799907,1240.2989510786344,1247.8463450851725,914.142476799792
Benin,North Africa,,,,,,,,,,,,,,,,,,,,,,16.729146140810652,16.71667140140232,18.249977608157074,19.812267029726033,18.7371871536505,17.832578487355185,15.57506930906879,20.63325356535016,14.732779034893504,26.110634374896595,31.387418199149938,29.142668162287055,32.62387872303384,43.22264372944161,53.731888312359445,50.945179398115954,51.87523489492626,61.82438960704718,61.44180841435555,50.93197326156969,49.458113432504895,,,,,,,,,30.66182035113127,27.653914373793075,24.767424293737086,45.56121157733318,49.73664712807549,54.205156306464445,54.962532490038015,54.94260018830078,,59.528798853382376,,,,72.54866366671645,76.85879663212961,83.62536793517799,97.57104101270032,86.32614905903239,122.05616358285104,89.54727941244269,71.79211079049621,72.1615732671137,92.74751473511246,116.18425311897016,149.03528800474317,151.0237844857233
Botswana,North Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.914023130705107,36.3435090075479,54.496100782146904,59.796920065183166,54.10910186922117,45.279180289646476,45.33704990849973,52.76839607661571,57.5290228085284,84.40391479926413,147.77719783911598,188.6251547319979,204.2658548522022,257.35490487978853,275.851641046537,256.0407101067212,268.31451033912657,246.8568169566691,224.4888598435636,207.2144428038583,239.0235162235585,292.5987529238644,278.3342587476197,307.9919318052716,376.78861462135905,401.5911489051385,387.4020758463742,358.29120778276666,324.6828515202343,319.6446955889924,352.5216765336759,377.3021752534513,363.57943708674094,340.89172223909765,329.66067261658395,307.2961803449155,299.9191152733308,346.9315989956973,420.82746067826093,590.6926375537543,551.9858618625848,501.8241990653689,531.7407736431456,537.969022682411,523.115516665708,499.26984607256594,485.56787004692586,555.8060930529796
Burkina Faso,North Africa,,,,,,,,,,,,6.3057618331618945,6.891846578865106,20.200191792215836,20.61523296717402,20.538987765515305,13.551768744725104,14.778205779164367,14.627005729161251,15.024070588774691,15.39356991047691,16.730576663844754,16.9451890312335,18.199883190070402,18.37859584644861,18.82586394544193,40.66581148126425,53.5245171100743,49.64719060654517,59.52963015424496,48.28831643306775,47.18618398216182,54.11848678273933,56.594838265157215,54.13059481167464,54.45635835022947,52.641616950235274,78.66990791586502,69.51307202935384,74.51508198547805,93.69921744359728,101.60563621026913,84.79846814122057,83.06179147938182,75.2103741775277,58.894371148389865,60.02611623380983,58.42108603935542,67.61508051578548,66.63140924471715,74.29159210976337,75.67810348079018,74.5544301843976,79.99333485160649,78.13341147690659,92.2753932272841,97.33317235411721,92.74292203582874,126.47470768063084,115.88397985830464,129.60544703442142,133.08204043347075,138.4981820123227,153.56422233915734,166.23346188653505,177.86412505894324,176.38661209349135,177.87809128715372,220.91347372097908,329.644447715007,420.4256347786308,433.00779903041325,482.5253420288919,582.7394397650302,827.153018861823,1002.3454328566442
Burundi,North Africa,,,,,,,,,,,,,,,,,15.800572239243,16.661374391549334,17.50149000089316,17.994158608161086,22.28075337828353,,16.932937496596296,22.33565265902514,31.705352394853005,34.969860481095694,33.56892281644247,40.20358282221146,54.95988236333189,54.14273276013852,46.55968904730106,62.81586174070613,60.5046101047255,69.85944286539379,62.53295468293672,61.36742255779945,64.1462332402423,64.10301086085033,57.61500051071741,69.71516092142055,78.07364441115165,82.28354094554646,84.28693088683114,86.62850666979486,85.63598107233724,89.66853102966105,74.67413604292942,86.52690507058105,93.37278449428634,100.13028606926254,104.95309594917916,90.26472582309081,119.68383133937861,114.75231118897584,116.61154535155804,113.30211041625034,108.54996597831565,90.66929979934443,91.08828972426271,75.99473747624799,,,,81.53601331114307,84.04924291835827,81.80168192006973,83.81867506491245,83.86889752733983,72.26804421664652,78.78145636778564,106.40200316699752,82.05705515300167,79.15189150045619,102.12172931970478,145.1680216511481,160.43978316888985
